List,Tag,Term,Proposed Definition 1,Proposed Definition 2,Correct Examples,Incorrect Examples,Connections
Supplement,,Goal-driven selection,,,,,
Supplement,,Gradient Descent,,,,,
Supplement,,Graphical,,,,,
Supplement,,Group Renormalization Theory,,,,,
Supplement,,Guidance signal,,,,,
Supplement,,Habit learning/formation,,,,,
Supplement,,Hamilton's Principle of Least Action,,,,,
Supplement,,Helmholtz Decomposition,,,,,
Supplement,,Helmholtz Free Energy,,,,,
Supplement,,Helmholtz machine,,,,,
Supplement,,Hermeneutics,,,,,
Supplement,,Hierarchically Mechanistic Mind,,,,,
Supplement,,High road,"One of two roads (arguments) that lead to the Free Energy Principle as a possible conclusion which starts with philosophical questions about what properties a thing must have to “exist” (i.e. it must be measurable) and then uses principles of Autopoiesis and non-equilibrium Thermodynamic systems from a statistical perspective to show what kinds of systems could continue to maintain themselves over time (see Friston 2019: Beyond the Desert Landscape and the other road, the Low road ).

“The high road stands in for a top-down approach that starts by asking fundamental questions about the necessary properties things must possess if they exist. Using mathematical (variational) principles, once can then show that existence is an embodied exchange of a creatures with its environment - that necessarily entails predictive processing as one aspect of self-evidencing mechanics.”",,The High road to the Free Energy Principle starts by talking about random Non-linear dynamical systems in general without a specific focus on biological organisms with brains.,You take the High road and I’ll take the low road.,"The High road connects a number of different fields together, drawing from concepts of Autopoiesis and self-organization within random Non-linear dynamical systems who are proposed to be in Non-Equilibrium Steady State with respect to the environment. Under certain Ergodicity assumptions about such systems it is possible to show how the Free Energy Principle arises."
Supplement,,Homeostasis,,,,,
Supplement,,Homeostatic system,,,,,
Supplement,,Hyperprior,,,,,
Supplement,,Hypothesis,,,,,
Supplement,,Information bottleneck,,,,,
Supplement,,Instrumentalism,,,,,
Supplement,,Interface,,,,,
Supplement,,Interoception,,,,,
Supplement,,Interoceptive sensitivity,,,,,
Supplement,,Interpretation,,,,,
Supplement,,Inverse problem,,,,,
Supplement,,Kullback-Leibler Divergence,,,,,
Supplement,,Lagrangian,,,,,
Supplement,,Latent cause,,,,,
Supplement,,Lateral geniculate nucleus,,,,,
Supplement,,Least action,,,,,
Supplement,,Likelihood,,,,,
Supplement,,link,,,,,
Supplement,,"Low road ","One of two roads (arguments) that lead to the Free Energy Principle as a possible conclusion which starts with fundamental questions from neuroscience and psychology about the nature of perception in biological organisms within a changing environment (see Friston 2019: Beyond the Desert Landscape and the other road, the High road ).

“The low road is to pursue the agenda established by Kant and Helmholtz to generalize - in a bottom up way - the capacity for inference and prediction to see how far it takes us in understand embodied exchange with the environment.”",,"The Low road  to the Free Energy Principle starts by looking at how biological organisms perceive their environment and take actions within it to develop a notion about how they can successfully predict the next state they will be in (Perception as Hypothesis testing). ","Be careful, the Low road  can be dangerous.",
Supplement,,Marginal approximation,,,,,
Supplement,,Markovian Monism," Markovian Monism ",,,,
Supplement,,Marr's Levels of Description,,,,,
Supplement,,Material science,,,,,
Supplement,,maximum caliber,,,,,
Supplement,,Mean,,,,,
Supplement,,Mean field approximation,,,,,
Supplement,,Memory,,,,,
Supplement,,Message Passing,,,,,
Supplement,,Mismatch negativity,,,,,
Supplement,,Mode,,,,,
Supplement,,Model,,,,,
Supplement,,Model accuracy,,,,,
Supplement,,model evidence,,,,,
Supplement,,Model Inversion,"Model Inversion ",,,,
Supplement,,Morphogenesis,,,,,
Supplement,,Multisensory integration,,,,,
Supplement,,Network,,,,,
Supplement,,Neuronal Ensemble,,,,,
Supplement,,Niche construction,,,,,
Supplement,,Noisy signal,,,,,
Supplement,,Non-linear dynamical systems,,,,,
Supplement,,normative,,,,,
Supplement,,Optimal control,,,,,
Supplement,,overfitting,,,,,
Supplement,,Partially Observed Markov Decision Process,,,,,
Supplement,,Partition,,,,,
Supplement,,path,,,,,
Supplement,,Path integral,,,,,
Supplement,,phenotype,,,,,
Supplement,,Policy posterior,,,,,
Supplement,,Policy prior,,,,,
Supplement,,population,,,,,
Supplement,,Precision,,,,,
Supplement,,Prediction error,,,,,
Supplement,,Prediction error minimization,,,,,
Supplement,,Predictive Coding,,,,,
Supplement,,predictive machine,,,,,
Supplement,,Predictive Processing,,,,,
Supplement,,Principle,"Principle ",,,,
Supplement,,Probability distribution,,,,,
Supplement,,Proprioception,,,,,
Supplement,,Quantum,,,,,
Supplement,,Quantum mechanics,,,,,
Supplement,,Quantum-like,,,,,
Supplement,,Qubit,,,,,
Supplement,,Random variable,,,,,
Supplement,,Realism,"Realism ",,,,
Supplement,,Receptive field,,,,,
Supplement,,Recognition density,,,,,
Supplement,,Renormalization,,,,,
Supplement,,Representationalism,,,,,
Supplement,,Reservoir Computing,,,,,
Supplement,,Reward,,,,,
Supplement,,"Risk ","Risk  ",,,,
Supplement,,Sample space,,,,,
Supplement,,Selection bias,,,,,
Supplement,,Selection history,,,,,
Supplement,,"Self-organization ",,,,,
Supplement,,Selfhood,,,,,
Supplement,,Semi-Markovian,,,,,
Supplement,,Sense of agency,,,,,
Supplement,,Sensorimotor,,,,,
Supplement,,Sensory attenuation,,,,,
Supplement,,Sensory Data,,,,,
Supplement,,Sensory input,,,,,
Supplement,,Sensory observation,,,,,
Supplement,,Sensory outcome,,,,,
Supplement,,Sensory State,,,,,
Supplement,,Sensory states,,,,,
Supplement,,Sentience,,,,,
Supplement,,"Shared Generative Model ",,,,,
Supplement,,Signal,,,,,
Supplement,,Simulation,,,,,
Supplement,,solenoidal,,,,,
Supplement,,Sophisticated Inference,,,,,
Supplement,,spike-timing dependent plasticity,,,,,
Supplement,,Statistical manifold,,,,,
Supplement,,Statistical Parametric Mapping,,,,,
Supplement,,Stigmergy,,,,,
Supplement,,Stochastic,,,,,
Supplement,,Subjective feeling states,,,,,
Supplement,,sufficient statistic,,,,,
Supplement,,Surprisal,,,,,
Supplement,,Swarm,,,,,
Supplement,,Symbol,,,,,
Supplement,,Synergetics,,,,,
Supplement,,T-Maze,,,,,
Supplement,,Teams,,,,,
Supplement,,Theory,,,,,
Supplement,,Thermodynamic system,,,,,
Supplement,,Thermostatistics,,,,,
Supplement,,Thinking Through Other Minds,,,,,
Supplement,,time,,,,,
Supplement,,Top-down attentional control,,,,,
Supplement,,Umwelt,,,,,
Supplement,,Unidirectionality,,,,,
Supplement,,Update,,,,,
Supplement,,Variance,,,,,
Supplement,,Variational message passing,,,,,
Supplement,,Variational Niche Construction,,,,,
Supplement,,Variational principle,,,,,
Supplement,,"Von Economo neurons ",,,,,
Supplement,,Weak mixing,,,,,
Supplement,,Working memory,,,,,
Supplement,,World States,,,,,
Supplement,,,,,,,
Supplement,Bayesian Statistics,Approximate Posterior,"A probability distribution (often denoted by ""q"") used in Variational Bayesian Inference to approximate the true (but unknown) Posterior distribution.

",,"The parameters of the approximate posterior distribution are adjusted until the shape of the distribution matches the true Posterior distribution, as measured by Kullback-Leibler Divergence.",In Bayesian Inference we can solve Bayes’ theorem directly to obtain the Approximate Posterior.,"We cannot usually solve Bayes’ theorem because we must evaluate the model evidence term needed to normalize the product of the Likelihood and Prior. We can optimize the Kullback-Leibler Divergence between the Approximate Posterior and Posterior through a proxy functional, Variational Free Energy, which is the upper bound on Surprisal (negative log model evidence)."
Entailed,,active,,,,,
Entailed,,area,,,,,
Entailed,,backbone,,,,,
Entailed,,brain,,,,,
Entailed,,causality,,,,,
Entailed,,classical physics,,,,,
Entailed,,computer,,,,,
Entailed,,concentration,,,,,
Entailed,,concept,,,,,
Entailed,,condition,,,,,
Entailed,,consensus,,,,,
Entailed,,conversation,,,,,
Entailed,,current,,,,,
Entailed,,default-mode,,,,,
Entailed,,dynamics,,,,,
Entailed,,ecosystem,,,,,
Entailed,,ego,,,,,
Entailed,,energy,,,,,
Entailed,,environment,,,,,
Entailed,,error,,,,,
Entailed,,feedback,,,,,
Entailed,,field,,,,,
Entailed,,framework,,,,,
Entailed,,free,For no cost.,"Able to be liberated. ",,,
Entailed,,genetic,,,,,
Entailed,,hierarchical,,,,,
Entailed,,idea,,,,,
Entailed,,increase,,,,,
Entailed,,influence,,,,,
Entailed,,interpretation,,,,,
Entailed,,inverse,,,,,
Entailed,,language,,,,,
Entailed,,Logic,,,,,
Entailed,,machine,,,,,
Entailed,,matrix,,,,,
Entailed,,neuronal,,,,,
Entailed,,object,,,,,
Entailed,,objective,,,,,
Entailed,,observer,,,,,
Entailed,,Ontology-to-Model Link,,,,,
Entailed,,opportunity,,,,,
Entailed,,parameter,,,,,
Entailed,,part,,,,,
Entailed,,perceptual inference,,,,,
Entailed,,perspective,,,,,
Entailed,,phase,,,,,
Entailed,,physics,,,,,
Entailed,,play,,,,,
Entailed,,probability,,,,,
Entailed,,Probably Approximately Correct,,,,,
Entailed,,problem,,,,,
Entailed,,propositional,,,,,
Entailed,,Propositional attitude,,,,,
Entailed,,Psychological attitude,,,,,
Entailed,,purpose,,,,,
Entailed,,question,,,,,
Entailed,,random,,,,,
Entailed,,recognition,,,,,
Entailed,,relative entropy,"Synonym for Kullback-Leibler Divergence ","relative entropy ",,,
Entailed,,"represents ","SUMO relation (represents ?THING ?ENTITY) means that ?THING in some way indicates, expresses, connotes, pictures, describes, etc. ?ENTITY. The Predicates containsInformation and realization are subrelations of represents.",,,,
Entailed,,resource,,,,,
Entailed,,role,,,,,
Entailed,,science,,,,,
Entailed,,selection,,,,,
Entailed,,self-organization,,,,,
Entailed,,situation,,,,,
Entailed,,social,,,,,
Entailed,,states,,,,,
Entailed,,Stimulus,,,,,
Entailed,,technology,,,,,
Entailed,,Thing,,,,,
Entailed,,transition,,,,,
Entailed,,tree,,,,,
Entailed,,understanding,,,,,
