List,Term,German,Russian,Portuguese,Spanish,French,Italian,Hebrew,Czech,Persian,Let us know what to add!
Entailed,part,,,parte,,,,,,,
Entailed,perceptual inference,,,inferência perceptual,,,,,,,
Entailed,perspective,,,perspectiva,,,,,,,
Entailed,phase,,,fase,,,,,,,
Entailed,physics,,,física,,,,,,,
Entailed,play,,,jogar/jogo,,,,,,,
Entailed,probability,,,probabilidade,,,,,,,
Entailed,Probably Approximately Correct,,,,,,,,,,
Entailed,problem,,,problema,,,,,,,
Entailed,propositional,,,"proposicional ",,,,,,,
Entailed,Propositional attitude,,,atitude proposicional,,,,,,,
Entailed,Psychological attitude,,,atitude psicológica,,,,,,,
Entailed,purpose,,,propósito,,,,,,,
Entailed,question,,,pergunta/questão,,,,,,,
Entailed,random,,,aleatório,,,,,,,
Entailed,recognition,,,reconhecimento,,,,,,,
Entailed,relative entropy,,,entropia relativa,,,,,,,
Entailed,"represents ",,,representa,,,,,,,
Entailed,resource,,,recurso,,,,,,,
Entailed,role,,,papel,,,,,,,
Entailed,science,,,ciência,,,,,,,
Entailed,selection,,,seleção,,,,,,,
Entailed,self-organization,,,auto-organização,,,,,,,
Entailed,situation,,,,,,,,,,
Entailed,social,,,social,,,,,,,
Entailed,states,,,estados,,,,,,,
Entailed,Stimulus,,,estímulo,,,,,,,
Entailed,technology,,,tecnologia,,,,,,,
Entailed,Thing,,,coisa,,,,,,,
Entailed,transition,,,transição,,,,,,,
Entailed,tree,,,árvore,,,,,,,
Entailed,understanding,,,entendimento,,,,,,,
